Nome da Notícia,Link da Matéria
É crime eleitoral tirar foto da urna? O que é proibido na hora do voto,https://stories.cnnbrasil.com.br/?p=277932
Polo Robust: Volkswagen revela hatch criado para o campo,https://stories.cnnbrasil.com.br/?p=277853
Cientistas decifram segredo da formação das dunas mais altas da Terra,https://stories.cnnbrasil.com.br/?p=277839
Filme de Taylor Swift chega à Disney+ em março com faixas inéditas,https://stories.cnnbrasil.com.br/?p=277834
Quais filmes do Oscar ainda estão em cartaz?,https://stories.cnnbrasil.com.br/?p=277784
Egídio em “Renascer”: remake alterou o nome do personagem,https://stories.cnnbrasil.com.br/?p=277975
Nickelodeon vai lançar sequência de “Os Padrinhos Mágicos”,https://stories.cnnbrasil.com.br/?p=277962
“Wonka” estreia sem custo adicional no streaming em março,https://stories.cnnbrasil.com.br/?p=277946
Internacional,https://www.cnnbrasil.com.br/internacional/
Suécia entra oficialmente na Otan e se torna o 32º membro da aliança,https://www.cnnbrasil.com.br/internacional/suecia-entra-oficialmente-na-otan-e-se-torna-o-32o-membro-da-alianca/
Ucrânia diz que não pode descartar que Zelensky seria alvo de ataque em Odessa,https://www.cnnbrasil.com.br/internacional/ucrania-diz-que-nao-pode-descartar-que-zelensky-seria-alvo-de-ataque-em-odessa/
China: voo atrasa mais de quatro horas após passageiro jogar moedas no motor,https://www.cnnbrasil.com.br/internacional/china-voo-atrasa-mais-de-quatro-horas-apos-passageiro-jogar-moedas-no-motor/
"Garoto surpreendido por leopardo age rápido, prende o animal e consegue fugir; assista",https://www.cnnbrasil.com.br/internacional/garoto-surpreendido-por-leopardo-age-rapido-prende-o-animal-e-consegue-fugir-assista/
Bebês e crianças morrem de fome em meio a cerco de Israel a Gaza,https://www.cnnbrasil.com.br/internacional/bebes-e-criancas-morrem-de-fome-em-meio-a-cerco-de-israel-a-gaza/
"Netanyahu diz que Israel seguirá com ofensiva contra o Hamas, incluindo em Rafah",https://www.cnnbrasil.com.br/internacional/netanyahu-diz-que-israel-seguira-com-ofensiva-contra-o-hamas-incluindo-em-rafah/
Veja mais em Internacional,https://www.cnnbrasil.com.br/internacional/
Política,https://www.cnnbrasil.com.br/politica/
"Lava Jato no STF teve 47 inquéritos arquivados, 9 ações e 7 condenados",https://www.cnnbrasil.com.br/politica/lava-jato-no-stf-teve-47-inqueritos-arquivados-9-acoes-e-7-condenados/
"Argentina: sem desculpa de Milei, Lula não tem data para visitar país vizinho",https://www.cnnbrasil.com.br/politica/argentina-sem-desculpa-de-milei-lula-nao-tem-data-para-visitar-pais-vizinho/
"À CNN, Alberto Fraga diz que convidará Lewandowski para ir à Câmara",https://www.cnnbrasil.com.br/politica/a-cnn-alberto-fraga-diz-que-convidara-lewandowski-para-ir-a-camara/
"“Não adianta querer unidade da base na PEC das Drogas”, diz Jaques Wagner",https://www.cnnbrasil.com.br/politica/nao-adianta-querer-unidade-da-base-na-pec-das-drogas-diz-jaques-wagner/
"“Um mal educado na Comissão de Educação”, diz Gleisi sobre Nikolas Ferreira",https://www.cnnbrasil.com.br/politica/um-mal-educado-na-comissao-de-educacao-diz-gleisi-sobre-nikolas-ferreira/
PT busca minimizar impactos do PL no comando da CCJ e da Comissão de Educação,https://www.cnnbrasil.com.br/politica/pt-busca-minimizar-impactos-do-pl-no-comando-da-ccj-e-da-comissao-de-educacao/
Veja mais em Política,https://www.cnnbrasil.com.br/politica/
Saúde,https://www.cnnbrasil.com.br/saude/
"Veja 8 fatores determinantes para a obesidade, segundo pesquisa brasileira",https://www.cnnbrasil.com.br/saude/veja-8-fatores-determinantes-para-a-obesidade-segundo-pesquisa-brasileira/
Estudo com IA revela que existem dois tipos de câncer de próstata,https://www.cnnbrasil.com.br/saude/estudo-com-ia-revela-que-existem-dois-tipos-de-cancer-de-prostata/
Microplásticos encontrados nas artérias aumentam risco de infarto e AVC,https://www.cnnbrasil.com.br/saude/microplasticos-encontrados-nas-arterias-aumentam-risco-de-infarto-e-avc/
Novo medicamento experimental para obesidade supera semaglutida em teste inicial,https://www.cnnbrasil.com.br/saude/novo-medicamento-experimental-para-obesidade-supera-semaglutida-em-teste-inicial/
Estudo mapeia principais genes da resposta imune contra o vírus da dengue,https://www.cnnbrasil.com.br/saude/estudo-mapeia-principais-genes-da-resposta-imune-contra-o-virus-da-dengue/
Quais são os fatores que aumentam o risco de câncer conforme envelhecemos?,https://www.cnnbrasil.com.br/saude/quais-sao-os-fatores-que-aumentam-o-risco-de-cancer-conforme-envelhecemos/
Veja mais em Saúde,https://www.cnnbrasil.com.br/saude/
Auto,https://www.cnnbrasil.com.br/auto/
Dodge Charger: elétrico esportivo é revelado com comprimento de picape,https://www.cnnbrasil.com.br/auto/dodge-charger-eletrico-esportivo-e-revelado-com-comprimento-de-picape/
"Assim como no Brasil, carro popular pode chegar ao fim nos EUA; entenda",https://www.cnnbrasil.com.br/auto/assim-como-no-brasil-carro-popular-pode-chegar-ao-fim-nos-eua-entenda/
POP,https://www.cnnbrasil.com.br/pop/
“Fallout”: série baseada em jogo pós-apocalíptico ganha trailer; veja,https://www.cnnbrasil.com.br/entretenimento/fallout-serie-baseada-em-jogo-pos-apocaliptico-ganha-trailer-veja/
Zayn Malik anuncia single “What I Am” para a próxima semana,https://www.cnnbrasil.com.br/entretenimento/zayn-malik-anuncia-single-what-i-am-para-a-proxima-semana/
Ludmilla confirma apresentação no palco principal do Coachella,https://www.cnnbrasil.com.br/entretenimento/ludmilla-confirma-apresentacao-no-palco-principal-do-coachella/
Sete brothers ainda não ganharam a Prova do Líder no BBB24; descubra quem são,https://www.cnnbrasil.com.br/entretenimento/bbb/sete-brothers-ainda-nao-ganharam-a-prova-do-lider-no-bbb24-descubra-quem-sao/
Victor & Leo retomam carreira sertaneja em gravação de novo DVD,https://www.cnnbrasil.com.br/entretenimento/victor-leo-retomam-carreira-sertaneja-em-gravacao-de-novo-dvd/
Ivete Sangalo: venda geral da turnê de 30 anos começa nesta quinta (7),https://www.cnnbrasil.com.br/entretenimento/ivete-sangalo-venda-geral-da-turne-de-30-anos-comeca-nesta-quinta-7/
Veja mais em POP,https://www.cnnbrasil.com.br/pop/
BBB,https://www.cnnbrasil.com.br/entretenimento/bbb/
BBB24: Lucas diz que fará viagem com esposa para celebrar nove anos de casados,https://www.cnnbrasil.com.br/entretenimento/bbb/bbb24-lucas-diz-que-fara-viagem-com-esposa-para-celebrar-nove-anos-de-casados/
"BBB 24: Mani Reggo, namorada de Davi, estreia em comercial e mostra bastidores",https://www.cnnbrasil.com.br/entretenimento/bbb/bbb-24-mani-reggo-namorada-de-davi-estreia-em-comercial-e-mostra-bastidores/
Nacional,https://www.cnnbrasil.com.br/nacional/
Polícia prende suspeito de roubar Ozempic em farmácias de São Paulo,https://www.cnnbrasil.com.br/nacional/policia-prende-suspeito-de-roubar-ozempic-em-farmacias-de-sao-paulo/
Oitavo fugitivo do presídio de Minas Gerais é preso após se apresentar à polícia,https://www.cnnbrasil.com.br/nacional/oitavo-fugitivo-do-presidio-de-minas-gerais-e-preso-apos-se-apresentar-a-policia/
"Saiba quem é o bicheiro Bernardo Bello, procurado pela polícia do Rio de Janeiro",https://www.cnnbrasil.com.br/nacional/saiba-quem-e-o-bicheiro-bernardo-bello/
Líder do Comando Vermelho no Ceará é preso na Baixada Fluminense,https://www.cnnbrasil.com.br/nacional/lider-do-comando-vermelho-no-ceara-e-preso-na-baixada-fluminense/
